2011-06-21 17:52:48 Debug: Notice (8): Undefined property: View::$Paginator in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 5]
2011-06-21 18:00:45 Debug: Notice (8): Use of undefined constant recentEssays - assumed 'recentEssays' in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 1]
2011-06-21 18:01:22 Debug: Notice (8): Use of undefined constant recentRevisions - assumed 'recentRevisions' in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 2]
2011-06-21 18:01:23 Debug: Notice (8): Use of undefined constant recentRevisions - assumed 'recentRevisions' in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 2]
2011-06-21 18:39:40 Debug: Notice (8): Undefined variable: userInfo in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 3]
2011-06-21 19:03:14 Debug: Notice (8): Undefined index: points in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 5]
2011-06-21 19:03:47 Debug: Notice (8): Undefined index: points in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 5]
2011-06-21 19:08:40 Debug: Notice (8): Undefined property: DashboardController::$User in [C:\xampp\htdocs\edittogether\controllers\dashboard_controller.php, line 12]
2011-06-21 19:08:40 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\edittogether\controllers\dashboard_controller.php, line 12]
2011-06-21 19:10:39 Debug: Notice (8): Undefined variable: userdata in [C:\xampp\htdocs\edittogether\controllers\dashboard_controller.php, line 14]
2011-06-21 19:11:45 Debug: Notice (8): Undefined property: DashboardController::$Auth in [C:\xampp\htdocs\edittogether\controllers\dashboard_controller.php, line 9]
2011-06-21 19:12:01 Debug: Notice (8): Undefined property: DashboardController::$Auth in [C:\xampp\htdocs\edittogether\controllers\dashboard_controller.php, line 9]
2011-06-21 19:12:23 Debug: Notice (8): Undefined property: DashboardController::$Session in [C:\xampp\htdocs\edittogether\plugins\spark_plug\config\config.php, line 55]
2011-06-21 19:14:03 Debug: Notice (8): Undefined property: DashboardController::$Auth in [C:\xampp\htdocs\edittogether\controllers\dashboard_controller.php, line 9]
2011-06-21 19:14:04 Debug: Notice (8): Undefined property: DashboardController::$Auth in [C:\xampp\htdocs\edittogether\controllers\dashboard_controller.php, line 9]
2011-06-21 19:14:52 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 5]
2011-06-21 19:14:52 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 22]
2011-06-21 19:15:15 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 5]
2011-06-21 19:15:15 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 22]
2011-06-21 19:15:16 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 5]
2011-06-21 19:15:16 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 22]
2011-06-21 19:15:18 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 5]
2011-06-21 19:15:18 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 22]
2011-06-21 19:22:32 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 5]
2011-06-21 19:22:32 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 22]
2011-06-21 19:22:47 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 5]
2011-06-21 19:22:47 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 22]
2011-06-21 19:23:04 Debug: Notice (8): Undefined index: User in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 22]
2011-06-22 00:23:03 Debug: Notice (8): Undefined property: DashboardController::$User in [C:\xampp\htdocs\edittogether\controllers\dashboard_controller.php, line 16]
2011-06-22 00:23:03 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\edittogether\controllers\dashboard_controller.php, line 16]
2011-06-22 00:47:18 Debug: Notice (8): Undefined variable: essays in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 37]
2011-06-22 00:52:15 Debug: Notice (8): Undefined variable: essays in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 37]
2011-06-22 00:53:15 Debug: Notice (8): Undefined variable: essays in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 37]
2011-06-22 00:57:58 Debug: Notice (8): Undefined variable: essays in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 37]
2011-06-22 00:58:01 Debug: Notice (8): Undefined variable: essays in [C:\xampp\htdocs\edittogether\views\dashboard\index.ctp, line 37]
2011-07-23 23:22:14 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 6127 of 6200 bytes in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 176]
2011-07-23 23:34:40 Debug: Notice (8): Undefined variable: userstuff in [C:\xampp\htdocs\edittogether\controllers\essays_controller.php, line 21]
2011-07-23 23:35:09 Debug: Notice (8): Undefined variable: userstuff in [C:\xampp\htdocs\edittogether\controllers\essays_controller.php, line 21]
2011-07-23 23:35:10 Debug: Notice (8): Undefined variable: userstuff in [C:\xampp\htdocs\edittogether\controllers\essays_controller.php, line 21]
2011-07-23 23:35:19 Debug: Notice (8): Undefined variable: userstuff in [C:\xampp\htdocs\edittogether\controllers\essays_controller.php, line 21]
2011-07-23 23:35:20 Debug: Notice (8): Undefined variable: userstuff in [C:\xampp\htdocs\edittogether\controllers\essays_controller.php, line 21]
2011-07-23 23:35:20 Debug: Notice (8): Undefined variable: userstuff in [C:\xampp\htdocs\edittogether\controllers\essays_controller.php, line 21]
2011-07-23 23:35:26 Debug: Notice (8): Use of undefined constant userstuff - assumed 'userstuff' in [C:\xampp\htdocs\edittogether\controllers\essays_controller.php, line 21]
2011-07-23 23:35:29 Debug: Notice (8): Undefined variable: userstuff in [C:\xampp\htdocs\edittogether\controllers\essays_controller.php, line 21]
2011-07-23 23:36:59 Debug: Notice (8): Undefined property: EssaysController::$User in [C:\xampp\htdocs\edittogether\controllers\essays_controller.php, line 20]
2011-07-23 23:57:14 Debug: Notice (8): Undefined property: Essay::$Authsome in [C:\xampp\htdocs\edittogether\models\essay.php, line 41]
2011-07-24 00:16:36 Debug: Notice (8): Undefined index: Points in [C:\xampp\htdocs\edittogether\controllers\essays_controller.php, line 21]
2011-07-24 00:18:57 Debug: Notice (8): Undefined property: EssaysController::$User in [C:\xampp\htdocs\edittogether\controllers\essays_controller.php, line 25]
2011-07-24 00:58:14 Debug: Notice (8): Undefined property: EssaysController::$User in [C:\xampp\htdocs\edittogether\controllers\essays_controller.php, line 20]
2011-07-24 01:11:32 Debug: Notice (8): Undefined variable: userstuff in [C:\xampp\htdocs\edittogether\controllers\revisions_controller.php, line 22]
2011-07-24 01:11:32 Debug: Notice (8): Undefined variable: userstuff in [C:\xampp\htdocs\edittogether\controllers\revisions_controller.php, line 23]
2011-07-24 01:11:32 Debug: Notice (8): Undefined property: RevisionsController::$Essay in [C:\xampp\htdocs\edittogether\controllers\revisions_controller.php, line 25]
2011-07-24 01:11:32 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\edittogether\controllers\revisions_controller.php, line 25]
2011-07-24 01:11:57 Debug: Notice (8): Undefined property: RevisionsController::$Essay in [C:\xampp\htdocs\edittogether\controllers\revisions_controller.php, line 20]
2011-07-24 01:11:57 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\edittogether\controllers\revisions_controller.php, line 20]
2011-07-24 01:12:08 Debug: Notice (8): Undefined property: RevisionsController::$Essay in [C:\xampp\htdocs\edittogether\controllers\revisions_controller.php, line 26]
2011-07-24 01:12:08 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\edittogether\controllers\revisions_controller.php, line 26]
2011-07-24 01:12:43 Debug: Notice (8): Undefined property: RevisionsController::$Essay in [C:\xampp\htdocs\edittogether\controllers\revisions_controller.php, line 26]
2011-07-24 01:12:43 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\edittogether\controllers\revisions_controller.php, line 26]
